school,state,weirdreason
Massachusetts College of Art and Design (MassArt),MA,
Massachusetts College of Liberal Arts,MA,
Massachusetts Maritime Academy,MA,
Central Michigan University (CMU),MI,
Eastern Michigan University (EMU),MI,
Ferris State University (Ferris State),MI,
Grand Valley State University (Grand Valley State or GVSU),MI,
Lake Superior State University,MI,
University of Michigan (Michigan),MI,
University of Michigan-Dearborn,MI,
University of Michigan-Flint,MI,
Michigan State University (Michigan State),MI,
Michigan Technological University (Michigan Tech),MI,
Northern Michigan University (NMU),MI,
Oakland University,MI,
Saginaw Valley State University,MI,
Wayne State University,MI,
Western Michigan University (WMU),MI,
Bemidji State University,MN,
"Minnesota State University, Mankato",MN,
Minnesota State University Moorhead,MN,
Metropolitan State University,MN,
Southwest Minnesota State University,MN,
St. Cloud State University,MN,
Winona State University,MN,
University of Minnesota Twin Cities,MN,
University of Minnesota Crookston,MN,
University of Minnesota Duluth,MN,
University of Minnesota Morris,MN,
University of Minnesota Rochester,MN,
Alcorn State University,MS,
Delta State University (Delta State),MS,
Jackson State University (Jackson State),MS,
Mississippi State University (Mississippi State),MS,
Mississippi University for Women (MUW),MS,
Mississippi Valley State University,MS,
University of Mississippi (Ole Miss),MS,
University of Southern Mississippi (Southern Miss or USM),MS,
University of Central Missouri (UCM),MO,
Harris-Stowe State University,MO,
Lincoln University of Missouri,MO,
University of Missouri,MO,
University of Missouri–Kansas City (UMKC),MO,
Missouri University of Science and Technology (S&T),MO,
University of Missouri–St. Louis (UMSL),MO,
Missouri Southern State University,MO,
Missouri State University,MO,
Missouri Western State University,MO,
Northwest Missouri State University,MO,
Southeast Missouri State University,MO,
Truman State University,MO,
Montana State University (Montana State),MT,
Montana State University Billings (Billings),MT,
Montana State University–Northern (Havre),MT,
University of Montana (Montana),MT,
Montana Tech of The University of Montana (Butte),MT,
University of Montana Western (Dillon),MT,
Chadron State College,NE,
Peru State College,NE,
Wayne State College,NE,
University of Nebraska-Lincoln (Nebraska),NE,
University of Nebraska at Kearney,NE,
University of Nebraska at Omaha,NE,
University of Nebraska Medical Center,NE,
"University of Nevada, Reno (UNR)",NV,
College of Southern Nevada,NV,community college
Great Basin College,NV,community college
Nevada State College,NV,
"University of Nevada, Las Vegas (UNLV)",NV,
Western Nevada College,NV,community college
Granite State College,NH,
Keene State College,NH,
Plymouth State University,NH,
University of New Hampshire (UNH),NH,
The College of New Jersey,NJ,
Kean University,NJ,
Montclair State University,NJ,
New Jersey City University,NJ,
New Jersey Institute of Technology (NJIT),NJ,
Ramapo College of New Jersey,NJ,
Stockton University,NJ,
Rowan University,NJ,
Rowan University School of Osteopathic Medicine,NJ,idk is it separate from Rowan University
Cooper Medical School of Rowan University,NJ,idk is it separate from Rowan University
Rutgers University (Rutgers),NJ,
Rutgers–Newark,NJ,
Rutgers–Camden,NJ,
Rutgers Schools of Biomedical and Health Sciences,NJ,
Thomas Edison State University,NJ,
William Paterson University of New Jersey,NJ,
University of New Mexico (New Mexico or UNM),NM,
New Mexico Institute of Mining and Technology (New Mexico Tech),NM,
New Mexico State University (NMSU),NM,
New Mexico Highlands University,NM,
Eastern New Mexico University (ENMU),NM,
Western New Mexico University (WNMU),NM,
"University at Albany, State University of New York (University at Albany, UAlbany, or Albany)",NY,
Binghamton University,NY,
The State University of New York at Buffalo (University at Buffalo),NY,
Stony Brook University (Stony Brook),NY,
Health Science Center Brooklyn,NY,
State University of New York Upstate Medical University,NY,
State University of New York Polytechnic Institute (SUNY Poly),NY,
New York State College of Ceramics (contract college at Alfred University),NY,contract college
College of Agriculture and Life Sciences (contract college at Cornell University),NY,contract college
College of Human Ecology (contract college at Cornell University),NY,contract college
College of Veterinary Medicine (contract college at Cornell University),NY,contract college
School of Industrial and Labor Relations (contract college at Cornell University),NY,contract college
State University of New York College of Environmental Science and Forestry,NY,
State University of New York State College of Optometry,NY,
Buffalo State College,NY,
Empire State College,NY,
State University of New York at Brockport (SUNY Brockport),NY,
State University of New York at Cortland (SUNY Cortland),NY,
State University of New York at Fredonia (SUNY Fredonia),NY,
State University of New York at Geneseo (SUNY Geneseo),NY,
State University of New York at New Paltz (SUNY New Paltz),NY,
State University of New York at Old Westbury (SUNY Old Westbury),NY,
State University of New York at Oneonta (SUNY Oneonta),NY,
State University of New York at Oswego (SUNY Oswego),NY,
State University of New York at Plattsburgh (SUNY Plattsburgh),NY,
State University of New York at Potsdam (SUNY Potsdam),NY,
State University of New York at Purchase (SUNY Purchase),NY,
Alfred State College,NY,
Fashion Institute of Technology (FIT),NY,community college
State University of New York at Canton (SUNY Canton),NY,
State University of New York at Cobleskill (SUNY Cobleskill),NY,
State University of New York at Delhi (SUNY Delhi),NY,
State University of New York at Farmingdale (SUNY Farmingdale),NY,
Morrisville State College,NY,
State University of New York Maritime College (SUNY Maritime),NY,
Baruch College,NY,
Brooklyn College,NY,
City College of New York,NY,
College of Staten Island,NY,
Hunter College,NY,
John Jay College of Criminal Justice,NY,
Lehman College,NY,
Medgar Evers College,NY,
New York City College of Technology,NY,
Queens College,NY,
Sophie Davis School of Biomedical Education,NY,
York College,NY,
CUNY Graduate Center,NY,
CUNY Graduate School of Journalism,NY,
CUNY School of Law,NY,
CUNY School of Professional Studies,NY,
CUNY School of Public Health,NY,
Sophie Davis School of Biomedical Education,NY,
William E. Macaulay Honors College,NY,
Appalachian State University (Appalachian State or App State),NC,
East Carolina University (ECU),NC,
Elizabeth City State University (ECSU),NC,
Fayetteville State University (FSU),NC,
North Carolina A&T State University (North Carolina A&T),NC,
North Carolina Central University (North Carolina Central or NCCU),NC,
